productId,sourceTitle,displayName,shortName,contentStatus,note
tmall-1008749329121,飞机杯新款硅胶屁股倒模男用1比1熟女真人版可插入成人玩具自慰器,臀部倒模款,臀部倒模,needs-review,自动生成官网展示名，已去除平台促销式长标题，需人工最终复核。
tmall-997868122989,全自动加热超大屁股倒模男用真人熟女欧美款可插入成人男性飞机杯,自动臀部倒模款,自动倒模,needs-review,自动生成官网展示名，已去除平台促销式长标题，需人工最终复核。
tmall-978357698377,硅胶半身倒模膜新款实体娃娃男用真人熟女版可插入成人男士飞机杯,半身倒模款,半身款,needs-review,自动生成官网展示名，已去除平台促销式长标题，需人工最终复核。
tmall-1037741386848,飞机杯男用真人倒模膜实体半身娃娃可插入自慰器1比1成人情趣用品,半身倒模款,半身款,needs-review,自动生成官网展示名，已去除平台促销式长标题，需人工最终复核。
tmall-903284452343,全自动超大屁股倒模飞机杯真实真人1比1可插肥臀成人男士用品玩具,自动臀部倒模款,自动倒模,needs-review,自动生成官网展示名，已去除平台促销式长标题，需人工最终复核。
tmall-974064324737,电动飞机杯可加热男用自慰器熟女真实1比1可插入手动无声成人玩具,官方在售款,在售款,needs-review,自动生成官网展示名，已去除平台促销式长标题，需人工最终复核。
tmall-1015501179254,液态乳房硅胶男用飞机杯真实可插入1比1真人倒模仿真胸膜成人用品,局部倒模款,局部倒模,needs-review,自动生成官网展示名，已去除平台促销式长标题，需人工最终复核。
tmall-1049922662436,半身倒模飞机杯重口味真人实体娃娃1比1可插入成人男用性自慰玩具,半身倒模款,半身款,needs-review,自动生成官网展示名，已去除平台促销式长标题，需人工最终复核。
tmall-1032948274589,飞机杯半腿倒模臀部真人1比1可插入双通道男性自慰名器成人性用品,半身倒模款,半身款,needs-review,自动生成官网展示名，已去除平台促销式长标题，需人工最终复核。
tmall-900429175999,飞机杯真人大屁股真实夹吸阴道男用倒模半身可插入成人男士性用品,半身倒模款,半身款,needs-review,自动生成官网展示名，已去除平台促销式长标题，需人工最终复核。
tmall-851429867792,半身倒模收纳带【可装密码锁】隐私方便收藏,护理收纳配件,护理配件,needs-review,自动生成官网展示名，已去除平台促销式长标题，需人工最终复核。
tmall-956711010507,飞机杯真人倒模半身娃娃可插入实体成人男用品脱敏训练情趣自慰器,半身倒模款,半身款,needs-review,自动生成官网展示名，已去除平台促销式长标题，需人工最终复核。
tmall-1047503838777,蜜女郎重磅大屁股臀膜1比1真人复刻成人性用品私密陪伴实体娃娃,半身倒模款,半身款,needs-review,自动生成官网展示名，已去除平台促销式长标题，需人工最终复核。
tmall-1046323454771,自动加热飞机杯真人复刻硅胶大屁股倒模男性专用成人玩具实体娃娃,半身倒模款,半身款,needs-review,自动生成官网展示名，已去除平台促销式长标题，需人工最终复核。
tmall-935751348502,全自动飞机杯男用可插入无声电动伸缩加热成人用品自慰情趣训练器,官方在售款,在售款,needs-review,自动生成官网展示名，已去除平台促销式长标题，需人工最终复核。
tmall-839593996256,全自动硅胶大大屁股倒模飞机杯1比1可插入自慰器成人用品新款玩具,自动臀部倒模款,自动倒模,needs-review,自动生成官网展示名，已去除平台促销式长标题，需人工最终复核。
tmall-1026704244735,高端硅胶娃娃重口味可插入1比1真人倒模实体半身男性用成人飞机杯,半身倒模款,半身款,needs-review,自动生成官网展示名，已去除平台促销式长标题，需人工最终复核。
tmall-1037064556812,飞机杯男用全自动仿真倒模熟女互动玩具自慰神器男成人性玩具用品,官方在售款,在售款,needs-review,自动生成官网展示名，已去除平台促销式长标题，需人工最终复核。
tmall-966709910145,半身飞机杯男用重口味真人倒模熟女实体硅胶娃娃可插入成人性玩具,半身倒模款,半身款,needs-review,自动生成官网展示名，已去除平台促销式长标题，需人工最终复核。
